,0.3A,0.4A,0.5A,0.75A,1A
1b27,85.9,86.2,96.7,172.9,273.8
1b2s,72.5,72.0,81.8,145.2,221.7
1b2u,78.9,79.0,87.4,146.2,199.8
1b3s,49.8,49.5,59.0,120.0,223.4
1x1u,75.6,75.8,85.9,167.9,257.8
1x1w,93.7,93.9,106.1,181.6,287.9
1x1x,117.8,118.2,133.5,214.1,309.2
1x1y,88.8,88.9,102.0,187.6,271.7
2za4,75.6,76.1,85.2,135.7,222.5
